file_path,labels_numeric,labels_text
artifacts/data_preprocessing/processed_audio_data\mixed_0.wav,"['4', '21', '12']","['WaterDrops', 'Insect', 'Generator']"
artifacts/data_preprocessing/processed_audio_data\mixed_1.wav,"['17', '6']","['Whistling', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_2.wav,"['1', '14']","['Fire', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_3.wav,"['18', '21', '15']","['Speaking', 'Insect', 'Gunshot']"
artifacts/data_preprocessing/processed_audio_data\mixed_4.wav,"['2', '19', '16']","['Rain', 'Footsteps', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_5.wav,"['8', '2', '21']","['Helicopter', 'Rain', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_6.wav,"['11', '4']","['Chainsaw', 'WaterDrops']"
artifacts/data_preprocessing/processed_audio_data\mixed_7.wav,"['10', '21', '1']","['Axe', 'Insect', 'Fire']"
artifacts/data_preprocessing/processed_audio_data\mixed_8.wav,"['12', '6', '10']","['Generator', 'Silence', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_9.wav,"['11', '7', '27']","['Chainsaw', 'TreeFalling', 'Squirrel']"
artifacts/data_preprocessing/processed_audio_data\mixed_10.wav,"['14', '24', '23']","['Firework', 'WingFlapping', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_11.wav,"['23', '12', '13']","['BirdChapping', 'Generator', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_12.wav,"['8', '5']","['Helicopter', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_13.wav,"['1', '27', '11']","['Fire', 'Squirrel', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_14.wav,"['5', '19']","['Wind', 'Footsteps']"
artifacts/data_preprocessing/processed_audio_data\mixed_15.wav,"['7', '6']","['TreeFalling', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_16.wav,"['6', '26', '16']","['Silence', 'WolfHowl', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_17.wav,"['4', '25']","['WaterDrops', 'Lion']"
artifacts/data_preprocessing/processed_audio_data\mixed_18.wav,"['27', '13']","['Squirrel', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_19.wav,"['23', '20', '18']","['BirdChapping', 'Clapping', 'Speaking']"
artifacts/data_preprocessing/processed_audio_data\mixed_20.wav,"['7', '13']","['TreeFalling', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_21.wav,"['2', '10', '7']","['Rain', 'Axe', 'TreeFalling']"
artifacts/data_preprocessing/processed_audio_data\mixed_22.wav,"['20', '7', '16']","['Clapping', 'TreeFalling', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_23.wav,"['8', '20', '6']","['Helicopter', 'Clapping', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_24.wav,"['24', '21']","['WingFlapping', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_25.wav,"['10', '20', '11']","['Axe', 'Clapping', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_26.wav,"['12', '20']","['Generator', 'Clapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_27.wav,"['21', '8', '26']","['Insect', 'Helicopter', 'WolfHowl']"
artifacts/data_preprocessing/processed_audio_data\mixed_28.wav,"['5', '2', '25']","['Wind', 'Rain', 'Lion']"
artifacts/data_preprocessing/processed_audio_data\mixed_29.wav,"['13', '7', '11']","['Handsaw', 'TreeFalling', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_30.wav,"['1', '13']","['Fire', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_31.wav,"['5', '9']","['Wind', 'VehicleEngine']"
artifacts/data_preprocessing/processed_audio_data\mixed_32.wav,"['27', '2']","['Squirrel', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_33.wav,"['21', '26', '24']","['Insect', 'WolfHowl', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_34.wav,"['8', '16']","['Helicopter', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_35.wav,"['8', '11']","['Helicopter', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_36.wav,"['7', '16']","['TreeFalling', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_37.wav,"['15', '14', '27']","['Gunshot', 'Firework', 'Squirrel']"
artifacts/data_preprocessing/processed_audio_data\mixed_38.wav,"['14', '10']","['Firework', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_39.wav,"['25', '3']","['Lion', 'Thunderstorm']"
artifacts/data_preprocessing/processed_audio_data\mixed_40.wav,"['15', '14', '7']","['Gunshot', 'Firework', 'TreeFalling']"
artifacts/data_preprocessing/processed_audio_data\mixed_41.wav,"['15', '2', '17']","['Gunshot', 'Rain', 'Whistling']"
artifacts/data_preprocessing/processed_audio_data\mixed_42.wav,"['1', '22', '11']","['Fire', 'Frog', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_43.wav,"['14', '24']","['Firework', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_44.wav,"['21', '23']","['Insect', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_45.wav,"['23', '2']","['BirdChapping', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_46.wav,"['20', '17']","['Clapping', 'Whistling']"
artifacts/data_preprocessing/processed_audio_data\mixed_47.wav,"['8', '25']","['Helicopter', 'Lion']"
artifacts/data_preprocessing/processed_audio_data\mixed_48.wav,"['21', '11', '1']","['Insect', 'Chainsaw', 'Fire']"
artifacts/data_preprocessing/processed_audio_data\mixed_49.wav,"['8', '9', '10']","['Helicopter', 'VehicleEngine', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_50.wav,"['5', '20']","['Wind', 'Clapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_51.wav,"['6', '5']","['Silence', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_52.wav,"['15', '24', '14']","['Gunshot', 'WingFlapping', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_53.wav,"['25', '14']","['Lion', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_54.wav,"['11', '22']","['Chainsaw', 'Frog']"
artifacts/data_preprocessing/processed_audio_data\mixed_55.wav,"['13', '5']","['Handsaw', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_56.wav,"['19', '24', '9']","['Footsteps', 'WingFlapping', 'VehicleEngine']"
artifacts/data_preprocessing/processed_audio_data\mixed_57.wav,"['21', '19']","['Insect', 'Footsteps']"
artifacts/data_preprocessing/processed_audio_data\mixed_58.wav,"['24', '27']","['WingFlapping', 'Squirrel']"
artifacts/data_preprocessing/processed_audio_data\mixed_59.wav,"['27', '10']","['Squirrel', 'Axe']"
